,bag,balustrade,bath towel,bathrobe,bathroom cabinet,bathroom towel,bathtub,bed,bench,blanket,board,box,cabinet,cabinet table,chair,closet shelf,cloth,clothes,clothes dryer,container,couch,countertop,crib,desk,display cabinet,drawer,fire extinguisher,handbag,heater,kitchen lower cabinet,kitchen shelf,monitor,oven,oven and stove,plush toy,rack,shower cabin,shower soap shelf,sideboard,sink,sink cabinet,sofa chair,sofa seat,stove,table,towel,toy,tv,wardrobe,washer-dryer,washing machine,worktop
bag,1.0,0.0,0.2,0.2,0.5,0.1,0.1,0.1,0.1,0.5,0.2,0.5,0.75,0.1,0.2,0.75,0.7,0.9,0.75,0.75,0.2,0.3,0.1,0.1,0.1,0.5,0.1,0.9,0.2,0.7,0.75,0.1,0.2,0.1,0.6,0.3,0.0,0.1,0.3,0.6,0.7,0.1,0.1,0.7,0.1,0.6,0.5,0.3,0.5,0.2,0.5,0.2
balustrade,0.0,1.0,0.0,0.0,0.1,0.0,0.5,0.0,0.2,0.1,0.2,0.2,0.5,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1
bath towel,0.2,0.0,1.0,0.8,0.8,1.0,0.9,0.1,0.05,0.5,0.0,0.2,0.8,0.0,0.1,0.5,0.5,0.5,0.5,0.1,0.1,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.8,0.9,0.8,0.0,0.7,0.5,0.0,0.0,0.0,0.1,0.9,0.1,0.1,0.7,0.5,0.8,0.0
bathrobe,0.2,0.0,0.8,1.0,0.9,0.9,0.9,0.8,0.1,0.6,0.1,0.1,0.5,0.0,0.5,0.7,0.6,0.7,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.7,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.9,0.9,0.0,0.5,0.5,0.1,0.1,0.0,0.1,0.8,0.1,0.2,0.7,0.2,0.5,0.0
bathroom cabinet,0.5,0.1,0.8,0.9,1.0,0.9,1.0,0.1,0.1,0.0,0.2,0.5,0.7,0.0,0.1,0.5,0.0,0.2,0.0,0.75,0.1,0.9,0.0,0.2,0.1,0.8,0.0,0.0,0.1,0.2,0.2,0.0,0.1,0.0,0.0,0.5,0.9,0.9,0.1,1.0,0.9,0.0,0.0,0.1,0.1,0.9,0.1,0.2,0.2,0.1,0.1,0.5
bathroom towel,0.1,0.0,1.0,0.9,0.9,1.0,0.9,0.2,0.0,0.1,0.1,0.1,0.7,0.0,0.1,0.1,0.8,0.5,0.2,0.3,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.9,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.5,0.5,0.0
bathtub,0.1,0.5,0.9,0.9,1.0,0.9,1.0,0.1,0.1,0.1,0.2,0.1,0.5,0.0,0.0,0.2,0.1,0.5,0.1,0.5,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.1,0.1,0.3,0.1,0.8,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.9,0.3,0.1,0.0,0.3,0.5,0.0
bed,0.1,0.0,0.1,0.8,0.1,0.2,0.1,1.0,0.1,0.9,0.7,0.2,0.8,0.8,0.2,0.9,0.1,0.5,0.0,0.1,0.2,0.0,0.5,0.2,0.1,0.7,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.7,0.2,0.7,0.1,0.7,0.0,0.0,0.3,0.2,0.0,0.5,0.2,0.1,0.8,0.95,0.05,0.1,0.0
bench,0.1,0.2,0.05,0.1,0.1,0.0,0.1,0.1,1.0,0.4,0.2,0.1,0.7,0.5,0.7,0.2,0.1,0.2,0.1,0.3,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.5,0.1,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.7,0.2,0.5,0.2,0.5,0.0,0.5,0.1,0.1,0.1,0.1,0.0,0.0,0.5
blanket,0.5,0.1,0.5,0.6,0.0,0.1,0.1,0.9,0.4,1.0,0.2,0.1,0.1,0.0,0.7,0.7,0.5,0.8,0.2,0.2,0.8,0.0,0.2,0.2,0.1,0.2,0.1,0.0,0.7,0.1,0.1,0.0,0.1,0.1,0.7,0.1,0.0,0.0,0.1,0.1,0.0,0.8,0.8,0.1,0.2,0.5,0.6,0.7,0.6,0.1,0.2,0.0
board,0.2,0.2,0.0,0.1,0.2,0.1,0.2,0.7,0.2,0.2,1.0,0.2,0.5,0.5,0.2,0.8,0.3,0.5,0.1,0.1,0.7,0.2,0.1,0.6,0.5,0.5,0.1,0.0,0.2,0.2,0.5,0.1,0.0,0.0,0.1,0.5,0.0,0.0,0.7,0.5,0.5,0.2,0.2,0.1,0.7,0.1,0.2,0.7,0.1,0.1,0.0,0.2
box,0.5,0.2,0.2,0.1,0.5,0.1,0.1,0.2,0.1,0.1,0.2,1.0,0.7,0.5,0.1,0.7,0.5,0.5,0.1,0.75,0.2,0.5,0.1,0.3,0.5,0.7,0.2,0.1,0.2,0.5,0.6,0.6,0.1,0.2,0.2,0.5,0.5,0.1,0.5,0.1,0.1,0.1,0.2,0.1,0.5,0.2,0.5,0.7,0.7,0.1,0.0,0.3
cabinet,0.75,0.5,0.8,0.5,0.7,0.7,0.5,0.8,0.7,0.1,0.5,0.7,1.0,0.5,0.7,0.75,0.1,0.8,0.2,0.7,0.2,1.0,0.1,0.5,0.8,0.9,0.1,0.0,0.5,1.0,0.95,0.2,0.8,0.9,0.2,0.5,0.1,0.0,0.8,0.9,1.0,0.2,0.2,0.8,0.7,0.5,0.2,0.8,0.7,0.5,0.1,0.9
cabinet table,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.0,0.5,0.5,0.5,1.0,0.7,0.5,0.2,0.1,0.0,0.0,0.2,0.8,0.0,0.5,0.5,0.8,0.2,0.0,0.2,1.0,0.8,0.0,0.5,0.9,0.1,0.5,0.0,0.0,0.8,0.5,0.7,0.0,0.0,0.7,0.5,0.1,0.1,0.7,0.5,0.1,0.0,0.7
chair,0.2,0.2,0.1,0.5,0.1,0.1,0.0,0.2,0.7,0.7,0.2,0.1,0.7,0.7,1.0,0.2,0.5,0.2,0.1,0.5,0.8,0.7,0.1,0.8,0.5,0.7,0.1,0.0,0.7,0.5,0.1,0.7,0.1,0.2,0.1,0.2,0.1,0.0,0.7,0.1,0.1,0.8,0.9,0.1,0.9,0.1,0.3,0.8,0.5,0.1,0.1,0.2
closet shelf,0.75,0.2,0.5,0.7,0.5,0.1,0.2,0.9,0.2,0.7,0.8,0.7,0.75,0.5,0.2,1.0,0.7,1.0,0.5,0.8,0.2,0.0,0.1,0.3,0.5,0.8,0.1,0.1,0.2,0.1,0.2,0.0,0.1,0.0,0.1,0.8,0.1,0.0,0.2,0.2,0.5,0.0,0.0,0.1,0.2,0.5,0.1,0.5,0.9,0.5,0.1,0.1
cloth,0.7,0.1,0.5,0.6,0.0,0.8,0.1,0.1,0.1,0.5,0.3,0.5,0.1,0.2,0.5,0.7,1.0,0.7,0.7,0.5,0.75,0.8,0.2,0.1,0.2,0.5,0.0,0.3,0.1,0.7,0.7,0.1,0.1,0.7,0.7,0.7,0.7,0.2,0.2,0.8,0.7,0.7,0.7,0.3,0.75,0.75,0.5,0.1,0.8,0.8,0.8,0.5
